연월,항만,구분,입항_선박수,입항_총톤수,출항_선박수,출항_총톤수
202004,부산,국적선,491,3954999,485,3891812
202004,부산,외국선,1537,50154446,1539,49929631
202004,부산,연안선,1805,1638905,1812,1630531
202004,삼척,국적선,0,0,0,0
202004,삼척,외국선,0,0,0,0
202004,삼척,연안선,110,456205,107,447250
202004,삼천포,국적선,4,136834,4,136834
202004,삼천포,외국선,6,233899,7,212315
202004,삼천포,연안선,56,65419,60,78319
202004,서귀포,국적선,0,0,0,0
202004,서귀포,외국선,0,0,0,0
202004,서귀포,연안선,228,76106,228,77435
202004,속초,국적선,0,0,0,0
202004,속초,외국선,7,4337,4,2621
202004,속초,연안선,26,53901,26,55928
202004,여수,국적선,15,94547,14,64731
202004,여수,외국선,220,8859278,226,9382841
202004,여수,연안선,380,168223,380,167967
202004,옥계,국적선,3,4353,3,4353
202004,옥계,외국선,6,96550,5,39689
202004,옥계,연안선,97,331597,99,328222
202004,옥포,국적선,4,89607,4,89607
202004,옥포,외국선,5,8292,7,272143
202004,옥포,연안선,195,241675,191,231790
202004,완도,국적선,0,0,0,0
202004,완도,외국선,0,0,0,0
202004,완도,연안선,64,47071,68,47668
202004,울산,국적선,257,2179290,242,2089186
202004,울산,외국선,666,13750778,681,15117714
202004,울산,연안선,1057,1587624,1059,1279161
202004,인천,국적선,76,804936,82,795672
202004,인천,외국선,560,11973508,556,11903244
202004,인천,연안선,727,2172748,733,2169140
202004,장항,국적선,0,0,0,0
202004,장항,외국선,6,19587,5,16435
202004,장항,연안선,43,32264,41,33281
202004,제주,국적선,0,0,0,0
202004,제주,외국선,7,661898,7,661898
202004,제주,연안선,465,3448462,464,3438611
202004,진해,국적선,3,3836,3,3836
202004,진해,외국선,11,58175,12,60672
202004,진해,연안선,98,132245,98,124920
202004,태안,국적선,1,43956,1,43956
202004,태안,외국선,9,457148,9,451248
202004,태안,연안선,14,5624,14,5624
202004,통영,국적선,19,9454,19,4877
202004,통영,외국선,9,4696,9,4696
202004,통영,연안선,37,11679,41,5611
202004,평택.당진,국적선,81,1444253,78,1451344
202004,평택.당진,외국선,390,9306932,392,9416462
202004,평택.당진,연안선,274,648400,278,689349
202004,포항,국적선,92,503641,90,531068
202004,포항,외국선,157,4198179,162,4346613
202004,포항,연안선,268,589781,265,581259
202004,하동,국적선,2,88987,2,88987
202004,하동,외국선,8,473710,6,389805
202004,하동,연안선,9,6901,9,6901
202004,호산,국적선,0,0,0,0
202004,호산,외국선,8,730848,9,778832
202004,호산,연안선,7,244013,7,244013
202005,경인,국적선,0,0,0,0
202005,경인,외국선,7,34295,7,34295
202005,경인,연안선,7,7021,8,9537
202005,고현,국적선,22,175394,22,185508
202005,고현,외국선,1,1486,4,438429
202005,고현,연안선,112,197688,110,191910
202005,광양,국적선,263,2170507,269,2160537
202005,광양,외국선,707,22897536,704,22540320
202005,광양,연안선,993,2065606,1004,2068132
202005,군산,국적선,30,450160,32,453687
202005,군산,외국선,112,2282379,120,2250440
202005,군산,연안선,148,299089,149,286429
202005,기타,국적선,0,0,0,0
202005,기타,외국선,0,0,0,0
202005,기타,연안선,13,14933,22,254889
202005,대산,국적선,72,593799,74,618287
202005,대산,외국선,146,3795459,145,3471049
202005,대산,연안선,259,602549,271,808433
202005,동해.묵호,국적선,10,186710,6,134904
202005,동해.묵호,외국선,74,778080,74,872373
202005,동해.묵호,연안선,248,997092,253,1035756
202005,마산,국적선,37,391191,37,495192
202005,마산,외국선,102,3073931,101,3202440
202005,마산,연안선,385,988426,385,992184
202005,목포,국적선,11,139701,10,135058
202005,목포,외국선,34,1003217,34,1198448
202005,목포,연안선,527,1412752,528,1078237
202005,보령,국적선,2,160650,1,75752
202005,보령,외국선,18,1407750,17,1364210
202005,보령,연안선,12,8908,9,5617
202005,부산,국적선,475,4053303,473,3907413
202005,부산,외국선,1564,50070429,1556,49777590
202005,부산,연안선,1834,1852431,1836,1836806
202005,삼척,국적선,0,0,0,0
202005,삼척,외국선,0,0,0,0
202005,삼척,연안선,93,413997,94,417659
202005,삼천포,국적선,3,135954,3,135954
202005,삼천포,외국선,4,88800,4,141382
202005,삼천포,연안선,45,36068,44,37324
202005,서귀포,국적선,0,0,0,0
202005,서귀포,외국선,0,0,0,0
202005,서귀포,연안선,286,64807,285,63432
202005,속초,국적선,0,0,0,0
202005,속초,외국선,7,4681,9,5910
202005,속초,연안선,19,42322,18,38580
202005,여수,국적선,17,409598,16,273723
202005,여수,외국선,268,11969824,269,11846724
202005,여수,연안선,463,211206,461,202395
202005,옥계,국적선,1,1380,1,1380
202005,옥계,외국선,5,98128,6,125789
202005,옥계,연안선,124,308311,122,299506
202005,옥포,국적선,3,85090,3,85090
202005,옥포,외국선,9,77812,11,633434
202005,옥포,연안선,141,169874,146,179450
202005,완도,국적선,0,0,0,0
202005,완도,외국선,0,0,0,0
202005,완도,연안선,61,58140,58,58806
202005,울산,국적선,268,1884300,263,1836664
202005,울산,외국선,670,13399275,686,14252623
202005,울산,연안선,1106,1525310,1111,1514112
202005,인천,국적선,85,1096491,89,1203633
202005,인천,외국선,575,11549579,580,11826893
202005,인천,연안선,729,2012310,697,1911664
202005,장항,국적선,0,0,0,0
202005,장항,외국선,9,31238,9,31631
202005,장항,연안선,43,42887,45,42427
202005,제주,국적선,3,294407,3,294407
202005,제주,외국선,5,269598,5,269598
202005,제주,연안선,465,3500315,461,3477452
202005,진해,국적선,2,4366,2,4366
202005,진해,외국선,16,131007,16,131007
202005,진해,연안선,103,156235,105,167965
202005,태안,국적선,1,43956,1,43956
202005,태안,외국선,7,460577,8,511732
202005,태안,연안선,10,8391,10,8391
202005,통영,국적선,18,6017,19,8840
202005,통영,외국선,18,9557,18,9557
202005,통영,연안선,46,13841,44,13801
202005,평택.당진,국적선,62,1004332,59,995760
202005,평택.당진,외국선,362,8656051,373,8892141
202005,평택.당진,연안선,276,826372,281,857866
202005,포항,국적선,77,452601,78,448200
202005,포항,외국선,149,3468182,143,3239577
202005,포항,연안선,267,611877,259,593675
202005,하동,국적선,0,0,0,0
202005,하동,외국선,7,503180,8,492206
202005,하동,연안선,15,13485,14,9808
202005,호산,국적선,5,354910,3,277494
202005,호산,외국선,7,471274,5,387369
202005,호산,연안선,6,243957,6,243957
202006,경인,국적선,1,6369,1,6369
202006,경인,외국선,6,34265,5,29015
202006,경인,연안선,9,8761,7,5216
202006,고현,국적선,18,142398,20,153296
202006,고현,외국선,2,6384,5,384127
202006,고현,연안선,105,133388,105,141421
202006,광양,국적선,263,2070929,265,2013663
202006,광양,외국선,696,21235657,687,21477361
202006,광양,연안선,926,1952687,924,1925765
